Tools selection,10293,10411,1,1
Adjust RIGHT hand pose,10349,10463,1,1
Adjust BASE pose,10522,10555,1,1
Adjust LEFT hand pose,10412,10637,1,1
Localisation,10638,10834,1,1
Execution,10835,11376,1,1
Tools selection,11377,11472,1,1
Adjust RIGHT hand pose,11473,11519,1,1
Localisation,11520,11598,1,1
Pick and place,11599,11740,1,1
Localisation,11741,11845,1,2
Fail Exe,12615,12670,1,2
Fail Exe,12990,13310,1,2
Execution,11845,12187,1,2
Pick and place,12188,12280,1,2
Adjust RIGHT hand pose,12312,12347,1,3
Localisation,12281,12370,1,3
Adjust RIGHT hand pose,12679,12783,1,3
Execution,12383,13603,1,3
Pick and place,13626,13714,1,3
Localisation,13715,13738,1,3
Execution,13739,13853,1,3
Pick and place,13854,13946,1,3
REST,14945,14985,1,0
Tools selection,14949,15084,1,4
Adjust RIGHT hand pose,15085,15177,1,0
Adjust BASE pose,15161,15189,1,0
Localisation,15178,15214,1,0
Pick and place,15215,15759,1,0
Localisation,15760,15816,1,4
Adjust BASE pose,15484,15825,1,4
Pick and place,15817,16032,1,4
Tools selection,16032,16152,1,4
Adjust LEFT hand pose,16153,16212,1,4
Localisation,16213,16265,1,4
Adjust LEFT hand pose,16518,16546,1,4
Execution,16265,17143,1,4
Localisation,17144,17187,1,5
Fail Pick,17203,17264,1,5
Pick and place,17187,17336,1,5
Execution,17349,18062,1,5
Adjust RIGHT hand pose,18113,18199,1,5
Localisation,18063,18236,1,6
Pick and place,18244,18468,1,6
Tools selection,18469,18546,1,6
Adjust RIGHT hand pose,18547,18591,1,6
Localisation,18592,18663,1,6
Execution,18664,19155,1,6
Adjust RIGHT hand pose,19197,19262,1,5
Localisation,19263,19308,1,5
Execution,19309,19575,1,5
Adjust BASE pose,19247,19627,1,5
REST,20060,20090,2,0
Tools selection,20033,20123,2,1
Adjust RIGHT hand pose,20124,20199,2,1
Adjust BASE pose,20097,20305,2,1
Localisation,20200,20327,2,1
Tools selection,20399,20446,2,1
Adjust LEFT hand pose,20399,20548,2,1
Localisation,20549,20580,2,1
Execution,20328,21043,2,1
Tools selection,21044,21133,2,1
Adjust RIGHT hand pose,21134,21203,2,1
