Sequence,Start,Stop
Tools selection,8787,8849
Adjust RIGHT hand pose,8849,8967
Localisation,8967,9071
Execution,9071,9377
Tools selection,9427,9465
Adjust RIGHT hand pose,9465,9555
Localisation,9555,9615
Pick and place,9615,9699
Localisation,9699,9853
Fail,9983,10201
Tools selection,9983,10205
Adjust LEFT hand pose,10205,10345
Localisation,10345,10573
Pick and place,10747,11826
Tools selection,11826,11976
Adjust LEFT hand pose,11976,12058
Adjust BASE pose,12066,12120
Adjust RIGHT hand pose,12120,12282
Localisation,12282,12592
Pick and place,12592,12990
Tools selection,14902,14952
Adjust RIGHT hand pose,14952,15118
Localisation,15118,15156
Pick and place,15156,15746
Fail,15341,15747
Tools selection,15755,15783
Adjust LEFT hand pose,15831,15945
Localisation,15945,16109
Execution,16109,16411
Localisation,16411,16769
Execution,16769,16873
Localisation,16873,17032
Pick and place,17032,17472
Localisation,17472,17654
Pick and place,17654,18058
Tools selection,18144,18162
Adjust RIGHT hand pose,18162,18238
Localisation,18238,18336
Execution,18336,18576
Tools selection,18600,18628
Adjust RIGHT hand pose,18628,18701
Localisation,18701,18769
Execution,18769,18853
Adjust BASE pose,19377,19418
Tools selection,19844,19876
Adjust RIGHT hand pose,19876,19994
Tools selection,23250,23294
Adjust RIGHT hand pose,23294,23422
Localisation,23422,23506
Execution,23506,23754
Localisation,23840,24074
Execution,24074,24376
Tools selection,24632,24672
Adjust RIGHT hand pose,24672,24742
Localisation,24742,24846
Execution,24846,25758
Tools selection,25942,25980
Adjust RIGHT hand pose,25980,26090
Localisation,26090,26179
Execution,26179,26336
Localisation,26380,26512
Execution,26512,27132
Tools selection,27680,27728
Adjust RIGHT hand pose,27728,27810
Localisation,27810,27914
Execution,27914,28366
Localisation,28458,28642
Execution,28642,28864
Tools selection,29160,29212
Adjust RIGHT hand pose,29212,29318
Localisation,29318,29390
Execution,29390,29630
Localisation,29728,29828
Execution,29828,30092
Tools selection,30272,30328
Adjust RIGHT hand pose,30328,30412
Localisation,30412,30478
Execution,30478,30882
Localisation,30972,31064
Execution,31064,31338
Tools selection,31520,31636
Adjust RIGHT hand pose,31636,31716
Localisation,31716,31788
Execution,31788,32048
Localisation,32130,32222
Execution,32222,32528
Tools selection,32780,32822
Adjust RIGHT hand pose,32822,32906
Localisation,32906,32996
Execution,32996,33326
Tools selection,33430,33470
Adjust RIGHT hand pose,33470,33542
Localisation,33542,33644
Execution,33644,33842
Tools selection,34248,34274
Adjust RIGHT hand pose,34274,34366
Localisation,34366,34424
Execution,34424,35380
Tools selection,58105,58133
Adjust RIGHT hand pose,58133,58223
Localisation,58223,58309
Fail,58223,58383
Adjust RIGHT hand pose,58383,58479
Localisation,58479,58567
Pick and place,58567,58629
Localisation,58709,58759
Pick and place,58759,59059
Tools selection,59227,59267
Adjust RIGHT hand pose,59267,59349
Localisation,59349,59413
Pick and place,59413,59557
Localisation,59613,59683
Pick and place,59683,59839
Tools selection,60177,60191
Adjust RIGHT hand pose,60191,60349
Localisation,60349,60417
Pick and place,60417,60483
Localisation,60573,60621
Pick and place,60621,60899
Tools selection,61093,61147
Adjust RIGHT hand pose,61147,61325
Localisation,61325,61389
Pick and place,61389,61459
Localisation,61513,61571
Pick and place,61571,61709
Tools selection,61939,61967
Adjust RIGHT hand pose,61967,62069
Localisation,62069,62137
Pick and place,62137,62263
Localisation,62329,62379
Pick and place,62379,62643
Tools selection,62893,62933
Adjust RIGHT hand pose,62933,63047
Localisation,63047,63109
Pick and place,63109,63313
Localisation,63373,63421
Pick and place,63421,63623
Tools selection,63803,63845
Adjust RIGHT hand pose,63845,63927
Localisation,63927,63989
Pick and place,63989,64109
Localisation,64163,64337
Pick and place,64337,64513
Tools selection,65675,65705
Adjust RIGHT hand pose,65705,65771
Localisation,65771,65885
Pick and place,67109,67273
Adjust BASE pose,68885,68905
Tools selection,68895,68937
Adjust RIGHT hand pose,68937,69057
Tools selection,69037,69069
Adjust BASE pose,69169,69209
Adjust RIGHT hand pose,69209,69299
Localisation,69299,69427
Pick and place,69427,70108
Localisation,70185,70259
Pick and place,70259,70931
Localisation,70969,71159
Execution,71159,71423
Tools selection,71637,71685
Adjust RIGHT hand pose,71685,71785
Tools selection,71785,71807
Adjust LEFT hand pose,71807,71879
Localisation,71879,71951
Execution,71951,72809
Adjust BASE pose,72841,72891
Localisation,72921,72979
Execution,72979,73059
Localisation,73083,73157
Pick and place,73157,73391
Localisation,73439,73485
Pick and place,73485,73803
Adjust BASE pose,73877,73897
Localisation,73971,74065
Execution,74065,74273
Tools selection,74549,74575
Adjust RIGHT hand pose,74575,74685
Tools selection,74679,74707
Adjust LEFT hand pose,74707,74797
Localisation,74797,74915
Execution,74937,75193
Adjust BASE pose,75253,75299
Localisation,75299,75347
Execution,75347,75497
Adjust BASE pose,75551,75593
Localisation,75593,75643
Pick and place,75643,75719
Localisation,75783,75859
